Åvs,Ort,Glas,Kartong,Metall,Blandplast,Tidningar,Latitud decimal,Longitud decimal
Åvs på åvc Älvdalen,Älvdalen,x,x,x,x,x,61.22778,14.07306
Gördalen containerplats,Särna,x,x,x,x,x,61.59778,12.49472
Tofta camping,Tofta,x,"","","","",57.48611,18.13111
Ica Nyström,Fårö,x,"","","","",57.96194,19.23806
Åminne,Gothem,x,"","","","",57.61361,18.75611
Ica Hoburgshallen,Burgsvik,x,"","","","",57.03194,18.27639
Ica,Dalhem,x,"","","","",57.54500,18.53278
Ica Krampbroboden,Krampbro,x,"","","","",57.64167,18.54139
Ica Högbyhallen,Hemse,x,"","","","",57.24056,18.37528
Torget vid konsum,Hemse,x,"","","","",57.23917,18.37806
Hamnen,Kappelshamn,x,"","","","",57.84944,18.78667
Ica,Klintehamn,x,"","","","",57.38722,18.20500
Konsum,Ljugarn,x,"","","","",57.33250,18.70250
Ica,När,x,"","","","",57.25917,18.63639
Konsum,Roma,x,"","","","",57.50417,18.45583
Hamnen,Lickershamn,x,"","","","",57.82583,18.51194
Ica,Stånga,x,"","","","",57.28028,18.47056
Ica Atterdags,Visby,x,"","","","",57.63361,18.28889
Coop Öster,Visby,x,"","","","",57.63750,18.30056
Hamnen Holmen,Visby,x,"","","","",57.63889,18.28639
Konsum Gråbo,Visby,x,"","","","",57.61917,18.29972
Sängjätten,Visby,x,"","","","",57.61361,18.31139
Willys,Visby,x,"","","","",57.63556,18.32750
Ica Vibblehallen,Västerhejde,x,"","","","",57.60111,18.25083
COOP Klintehamn,Klintehamn,x,x,x,x,x,57.38722,18.20528
ICA Havdhem,Havdhem,x,x,x,x,x,57.16083,18.33444
Tempo Katthammarsvik,Katthammarsvik,x,x,x,x,x,57.42611,18.84139
ICA Roma,Roma,x,x,x,x,x,57.50278,18.45778
Tingstäde,Tingstäde,x,x,x,x,x,57.73417,18.60472
"Parkering,  Slite centrum",Slite,x,x,x,x,x,57.70417,18.80083
ÅVC Fårösund,Fårösund,x,x,x,x,x,57.86056,19.03528
ÅVC Hemse,Hemse,x,x,x,x,x,57.25361,18.40444
ÅVC Klintehamn,Klintehamn,x,x,x,x,x,57.37917,18.18889
ÅVC Slite,Slite,x,x,x,x,x,57.74167,18.76278
ÅVC Visby,Visby,x,x,x,x,x,57.62278,18.31500
ICA Maxi,Visby,x,x,x,x,x,57.62444,18.32167
ICA Wisborg,Visby,x,x,x,x,x,57.61806,18.28361
Burgsvik ÅVC,Burgsvik,x,x,x,x,x,57.00722,18.25222
Fårö Sommar ÅVS (betalsäcksmottagn.),Fårö,x,x,x,x,x,57.88472,19.08972
Ljugarn ÅVC,Ljugarn,x,x,x,x,x,57.34111,18.69139
Tempo  Stenkyrka,Stenkyrka,x,x,x,x,x,57.79944,18.51250
"Halor Ronehamn, Gula Hönan",Ronehamn,"",x,x,x,x,57.17889,18.48056
Lärbro,Lärbro,x,x,x,x,x,57.78778,18.78972
Konsum,Lärbro,x,"","","","",57.78500,18.78472
Bingebyhallen,Visby,x,"","","","",57.63917,18.31222
Fårösund,Fårösund,x,x,x,x,x,57.86583,19.05444
Coop Forum,Visby,x,x,x,x,x,57.62278,18.32250
ICA/Servus,Arbrå,x,x,x,x,x,61.47111,16.37806
Forum,Arbrå,x,x,x,x,x,61.46806,16.37750
Karlslunds centrum,Bollnäs,x,x,x,x,x,61.35778,16.40000
Stadshuset P-plats,Bollnäs,x,"",x,x,"",61.34639,16.39194
Sävesta Hemköp,Bollnäs,x,x,x,x,x,61.34250,16.38194
Affären Konsum,Hällbo,x,x,x,x,x,61.22111,16.42194
Orbaden Affären,Vallsta,x,x,x,x,x,61.54111,16.36389
Rens Centrum,Ren,x,x,x,x,x,61.36111,16.42111
Ren Trion,Bollnäs,x,x,x,x,x,61.35778,16.40722
Löten vid fabriken,Rengsjö,x,x,x,x,x,61.36194,16.61500
Svempas Lunchbar och Cafe,Segersta,x,x,x,x,x,61.26750,16.64722
Vallsta Affären,Vallsta,x,x,x,x,x,61.51722,16.36444
Växbo Isbanan,Växbo,x,x,x,x,x,61.40528,16.56472
Godsmagasinet,Kilafors,x,x,x,x,x,61.23194,16.56889
ICA Kvantum gamla (Skidan Gärdet),Gärdet,x,x,x,x,x,61.35444,16.38861
Blomkransen,Bollnäs,x,x,x,x,x,61.34667,16.37417
Sävstaås Avfallsanläggning ÅVC,Bollnäs,x,x,x,x,x,61.34250,16.30694
Lottefors,Bollnäs,x,x,x,x,x,61.42111,16.40861
Granbergshöjden,Bollnäs,x,x,x,x,x,61.33056,16.38667
Försäkringskassan,Bollnäs,x,x,x,x,x,61.35222,16.39417
Coop Extra området,Bollnäs,x,x,x,x,x,61.36806,16.39361
"Sörby, Konsum Krysset",Gävle,x,x,x,x,x,60.65833,17.13472
"Axmar, Auktionshallen",Axmar,x,x,x,x,x,61.00389,17.12667
"Björke, Björke Livs",Gävle,x,x,x,x,x,60.76639,17.19083
"Bomhus, ICA Supermarket",Gävle,x,x,x,x,x,60.66611,17.22778
"Bomhus, Viking Närköp",Gävle,x,x,x,x,x,60.66278,17.21167
"Brynäs, Coop Extra",Gävle,x,x,x,x,x,60.66917,17.18444
"Harkskär, Harkskärsvägen Vpl",Gävle,x,x,x,x,x,60.76694,17.32361
"Bönan, Böna Tennisplan",Gävle,x,x,x,x,x,60.73861,17.30806
"Eskön, Eskö Lanthandel",Gävle,x,x,x,x,x,60.79611,17.30111
"Forsbacka, Konsum",Forsbacka,x,x,x,x,x,60.61389,16.89028
"Strömsbro, Brännerigatan",Gävle,x,x,x,x,x,60.69889,17.16139
"Bomhus, Bärnstensvägen",Gävle,x,x,x,x,x,60.66778,17.21778
"Gävle, Fleminggatan/Vallongatan",Gävle,x,x,x,x,x,60.66333,17.14861
"Bomhus, Centrum",Gävle,x,x,x,x,x,60.67639,17.21417
"Sätra, Sätra krysset",Gävle,x,x,x,x,x,60.68417,17.10917
"Sätra, Igeltjärnsvägen",Gävle,x,x,x,x,x,60.68611,17.09361
"Bomhus, Kapellvägen",Gävle,x,x,x,x,x,60.68361,17.23556
"Gävle, Lantmäteriet (Parkeringen)",Gävle,x,x,x,x,x,60.66611,17.13556
"Bomhus, Lillmyravägen",Gävle,x,x,x,x,x,60.66972,17.21278
"Valbo, Lundkiosken",Valbo,x,x,x,x,x,60.66139,17.00889
"Gävle, fd Hemköp",Gävle,x,x,x,x,x,60.66167,17.14306
"Valbo, Panncentralen",Valbo,x,x,x,x,x,60.64194,17.01194
"Hamrångefjärden, bakom Q star",Hamrångefjärden,x,x,x,x,x,60.89972,17.06028
Hedesunda (utanför ÅVC),Hedesunda,x,x,x,x,x,60.39111,17.01333
"Hille, Hillerian",Gävle,x,x,x,x,x,60.72222,17.17056
"Hille, Preem",Gävle,x,x,x,x,x,60.71639,17.16750
"Gävle, Silvanum (Parkeringen)",Gävle,x,x,x,x,x,60.67139,17.12278
"Norrsundet, Folkets Hus parkering",Norrsundet,x,x,x,x,x,60.92889,17.14250
"Nynäs, Konsum Eken",Gävle,x,x,x,x,x,60.67861,17.12500
"Hagaström, Coop",Gävle,x,x,x,x,x,60.67167,17.07444
"Oslättfors, Oslättforsvägen",Gävle,x,x,x,x,x,60.77139,16.97056
"Stigslund, Centrum",Gävle,x,x,x,x,x,60.69639,17.14972
"Stigslund, Konsum Triangeln",Gävle,x,x,x,x,x,60.69972,17.15417
"Strömsbro, Rösgatan",Gävle,x,x,x,x,x,60.70361,17.16639
"Sätra, Sätrahöjden/Vinbärsvägen",Gävle,x,x,x,x,x,60.69583,17.09528
"Sätra, Centrum",Gävle,x,x,x,x,x,60.69278,17.11861
"Valbo, Magneten Överhärde",Valbo,x,x,x,x,x,60.61778,16.97722
"Valbo, Valbo Köpcentrum",Valbo,x,x,x,x,x,60.63194,16.99222
"Bomhus, Nygårdarna",Gävle,x,x,x,x,x,60.67917,17.21750
"Brynäs, Väpnargatan",Gävle,x,x,x,x,x,60.66917,17.17056
"Bomhus, ",Gävle,x,x,x,x,x,60.67556,17.23778
"Gävle, Åbyggeby skola",Åbyggeby,x,x,x,x,x,60.72889,17.12389
"Bomhus, Furuviksvägen/Korsnäsvägen",Gävle,x,x,x,x,x,60.67278,17.26722
Pukslagarvägen,Gävle,x,x,x,x,x,60.66194,17.24250
Furuvik,Gävle,x,x,x,x,x,60.64972,17.33528
"Brynäs, Styrmansgatan/5:e Tvärgatan",Gävle,x,x,x,x,x,60.67472,17.16861
"Sätra, Jaktstigen",Gävle,x,x,x,x,x,60.69889,17.11028
Forsbacka (ÅVC),Forsbacka,x,x,x,x,x,60.63639,16.87778
Gävle (ÅVC),Gävle,x,x,x,x,x,60.65917,17.18667
Hagalund (ÅVC),Hamrångefjärden,x,x,x,x,x,60.91278,17.06917
"Bomhus, Tempo",Gävle,x,x,x,x,x,60.67333,17.25278
"Andersberg, ICA Maxi",Gävle,x,x,x,x,x,60.64611,17.14472
Bergby Centrum,Bergby,x,x,x,x,x,60.92889,17.03944
Idrottsplatsen/ishockeyplan,Barkhyttan,x,x,x,x,x,60.56139,16.38750
Mossvägen/Hovrättsvägen,Fagersta,x,x,x,x,x,60.52472,16.33639
Norra centrumparkeringen,Hofors,x,x,x,x,x,60.54694,16.28472
"Grusplan, Göklund",Hofors,x,x,x,x,x,60.54250,16.27222
Silverdalen,Hofors,x,x,x,x,x,60.53250,16.30083
Munterboleden,Hofors,x,x,x,x,x,60.53722,16.30722
Bruksvägen/Klintgatan,Robertsholm,x,x,x,x,x,60.56917,16.27306
"Torsåker, Tor Center",Torsåker,x, ,x,x,"",60.51111,16.47222
"Torsåker, Idrottsvägen",Torsåker,x,x,x,x,x,60.51306,16.47639
Torsåker (ÅVC),Hofors,x,x,x,x,x,60.51222,16.48889
Edskevallen (ÅVC),Hofors,x,x,x,x,x,60.53222,16.26861
Bussgaraget,Hofors,x,x,x,x,x,60.54000,16.29000
Ica Nära,Friggesund,x,x,x,x,x,61.89722,16.54833
ICA Träffpunkten,Hudiksvall,x,x,x,x,x,61.72556,17.14111
"Hudiksvalls Järn, Hamnplan",Hudiksvall,x,x,x,x,x,61.72667,17.12056
"Albert & Herbert, Hudiksvall",Hudiksvall,x,x,x,x,x,61.75167,17.12417
Borgarparken,Hudiksvall,x,x,x,x,x,61.73139,17.11472
ICA Maxi Stormarknad,Hudiksvall,x,x,x,x,x,61.74194,17.11444
OKQ8,Hudiksvall,x,x,x,x,x,61.71472,17.09111
Ica Supermarket (gamla Rimi),Hudiksvall,x,x,x,x,x,61.71917,17.08889
Q Star,Hög,x,x,x,x,x,61.76722,16.99861
COOP Konsum,Iggesund,x,x,x,x,x,61.64306,17.07917
Preem,Iggesund,x,x,x,x,x,61.65278,17.08222
Ingstahemmet,Rogsta,x,x,x,x,x,61.76472,17.19944
Linde Livs ,Lindefallet,x,x,x,x,x,61.48778,16.93667
Malsta Skola,Malsta,x,x,x,x,x,61.80972,17.20389
Folkets hus,Njutånger,x,x,x,x,x,61.61222,17.04972
Näsviken,Näsviken,x,x,x,x,x,61.75750,16.86528
Gamla BP,Ängebo,x,x,x,x,x,61.97194,16.33611
Gamla TAXI,Enånger,x,x,x,x,"",61.54806,17.00694
Coop Extra,Hudiksvall,x,x,x,x,x,61.73444,17.09417
Pendlarparkeringen Delsbo,Delsbo,x,x,x,x,x,61.79722,16.56806
Ulvbergets ÅVC,Hudiksvall,x,x,x,x,x,61.72167,17.02389
Röda Korset Kupan,Forsa,x,x,x,x,x,61.71583,16.96639
Färila Delins,Färila,x,x,x,x,x,61.79861,15.83889
Verkstaden Hennan ,Ramsjö,x,x,x,x,x,62.02806,15.90833
Hybo Stationen,Hybo,x,x,x,x,x,61.79667,16.19361
Järvsö Stationsgatan,Järvsö,x,x,x,x,x,61.71861,16.17250
Korskrogen Krogsvängen,Korskrogen,x,x,x,x,x,61.81278,15.75500
Kårböle Preem,Kårböle,x,x,x,x,x,61.98694,15.30056
Ica Supermarket  Gärdeåsen,Ljusdal,x,x,x,x,x,61.82944,16.11222
Ljusdal Coop,Ljusdal,x,x,x,x,x,61.82806,16.09222
Ljusdal Matpunkten,Ljusdal,x,x,x,x,x,61.82389,16.10944
Los Affären,Los,x,x,x,x,x,61.74056,15.16250
Nor Affären,Nor,x,x,x,x,x,61.66500,16.31639
Nybo,Järvsö,x,x,x,x,x,61.67167,16.14472
Ramsjö Affären,Ramsjö,x,x,x,x,x,62.18278,15.64889
Tallåsen Torget,Tallåsen,x,x,x,x,x,61.86722,16.00639
Letsbo,Tallåsen,x,x,x,x,x,61.93250,15.87778
Bergsjö G:a idrottsplatsen,Bergsjö,x,x,x,x,x,61.98389,17.05778
Gnarp Skolan,Gnarp,x,x,x,x,x,62.05306,17.24306
Harmånger Centrum,Harmånger,x,x,x,x,x,61.92889,17.21889
Hassela Centrum,Hassela,x,x,x,x,x,62.10861,16.71278
Ilsbo ICA,Ilsbo,x,x,x,x,x,61.85639,17.04972
Mellanfjärden Affären,Mellanfjärden,x,x,x,x,"",61.95722,17.34083
Norrfjärden,Norrfjärden,x,x,x,x,x,62.06306,17.41861
Strömsbruk Humlegården,Strömsbruk,x,x,x,x,x,61.87028,17.31500
Stocka Stocka kiosken,Stocka,x,x,x,x,x,61.89972,17.33556
200 m öster vägkorsning Norrfjärden/Sörfjärden,Sörfjärden,x,x,x,x,x,62.03333,17.42278
"Homon ÅVC, Jättendal avfallsstation (ÅVC)",Jättendal,x,x,"",x,x,61.97611,17.18389
"Återvinningscentral, Hassela (ÅVC)",Hassela,"",x,"",x,x,62.10278,16.71444
"Jädraås, lokstallet",Jädraås,x,x,x,x,x,60.84167,16.47139
Uret-centrumhuset,Ockelbo,x,x,x,x,x,60.89056,16.71472
Nya Brandstationen,Ockelbo,x,x,x,x,x,60.89833,16.73056
"Åmot, Konsum",Åmot,x,x,x,x,x,60.96222,16.44806
Marstrandsparkeringen,Ockelbo,x,x,x,x,x,60.88278,16.70167
Ockelbo (ÅVC),Ockelbo,"","","",x,x,60.89917,16.73111
Kolvägen,Ockelbo,x,x,x,x,x,61.04333,16.67722
Alfta Bornvägen,Alfta,x,x,x,x,x,61.34389,16.05694
Edsbyn Centralgatan ICA Supermarket Edsbyhallen,Edsbyn,x,x,x,x,x,61.37639,15.81611
Knåda Sport handlarn,Edsbyn,x,x,x,x,x,61.38111,15.88611
Edsbyn Voxnavägen Handlarn på norr,Edsbyn,x,x,x,x,x,61.38417,15.80806
Runemo Affären/Pizzerian,Runemo,x,x,x,x,x,61.35528,16.14111
ICA Nära Viksjöfors Handel,Viksjöfors,x,x,x,x,x,61.33806,15.95250
Voxnabruk Preem,Voxnabruk,x,x,x,x,x,61.36528,15.52750
"Alfta, Järnvägsgatan",Alfta,x,x,x,x,x,61.34639,16.07306
Edsbyn Centrum,Edsbyn,x,x,x,x,x,61.37306,15.82139
Edsbyn ÅVC,EDSBYN,x,x,x,x,"",61.38278,15.83417
Ica Nära Rotebergs Handel,Edsbyn,x,x,x,x,x,61.39472,15.83167
"Gysinge, Ställverket",Gysinge,x,x,x,x,x,60.29139,16.88500
"Gästrike-Hammarby, Viktor Fohlins väg",Gästrike-Hammarby,x,x,x,x,x,60.54361,16.57194
"Jäderfors, Kärråsvägen 1",Jäderfors,x,x,x,x,x,60.66139,16.70833
Paviljongvägen/Krokgatan,Järbo,x,x,x,x,x,60.72056,16.59278
"Sandviken, Konsum",Sandviken,x,x,x,x,x,60.61833,16.76806
Norra JärnGatan,Sandviken,x,x,x,"",x,60.61972,16.77361
"Sandviken, Björksätra Mitt",Sandviken,x,x,x,x,x,60.60611,16.74889
"Sandviken, Idrottsvägen",Sandviken,x,x,x,x,x,60.62778,16.78361
"Sandviken, Åsens livs",Sandviken,x,x,x,x,x,60.64472,16.79833
"Sandviken, Smultronbacken, kiosk",Sandviken,x,x,x,x,x,60.61333,16.74806
"Sandviken, Prix/ Wega parkeringen",Sandviken,x,x,x,x,x,60.61944,16.73972
"Storvik, Logårdern",Storvik,x,x,x,x,x,60.58250,16.53028
"Storvik, Vallbyvägen",Storvik,x,x,x,x,x,60.58694,16.52972
"Årsunda, Shell,",Årsunda,x,x,x,x,x,60.52722,16.74611
Hästskovägen,Åshammar,x,x,x,x,x,60.63750,16.56194
"Sandviken, Ernst Olofs vägen",Sandviken,x,x,x,x,x,60.62722,16.80972
"Österfärnebo, Murarmörkret utanför ÅVC",Österfärnebo,x,x,x,x,x,60.30139,16.80833
"Sandviken, Sätragatan/Bäckgatan",Sandviken,x,x,x,x,x,60.60139,16.73778
Ica Maxi,Sandviken,x,x,x,x,x,60.62444,16.77111
Kungsgården (ÅVC),Kungsgården,x,x,x,x,x,60.59889,16.58917
Bredmossen (ÅVC),Sandviken,x,"",x,"",x,60.62917,16.75250
Årsunda (ÅVC),Årsunda,x,x,x,x,x,60.52639,16.75083
Järbo (ÅVC),Järbo,x,x,x,x,x,60.71667,16.59056
ICA ,Stråtjära,x,x,x,x,x,61.16639,16.84389
Fd Holmsvedens livs,Holmsveden,x,x,x,x,x,61.11583,16.72389
Variant köpcenter,Bergvik,x,x,x,x,x,61.27111,16.84194
Vallvik Torget,Vallvik,x,x,x,x,x,61.18500,17.17778
Söderala Vivo,Söderala,x,x,x,x,x,61.27944,16.96028
Marma centrum,Marmaverken,x,x,x,x,x,61.27333,16.87972
Alavägen,Ljusne,x,x,x,x,x,61.21306,17.13278
Moskolan,Mo,x,x,x,x,x,61.31306,16.78056
Moheds centrum,Mohed,x,x,x,x,x,61.29111,16.82722
Smedsvägen,Ljusne,x,x,x,x,x,61.21139,17.12722
Strandgatan,Stugsund,x,x,x,x,x,61.30528,17.10972
F.d ICA kanonen,Söderhamn,x,x,x,x,x,61.31111,17.04417
Cityparkeringen/Busstorget,Söderhamn,x,x,x,x,x,61.30389,17.06333
E-center,Söderhamn,x,x,x,x,x,61.29417,17.02056
Faxevallen,Söderhamn,x,x,x,x,x,61.30333,17.07139
Gatukontorets förråd/forsbackabron,Söderhamn,x,x,x,x,x,61.31194,17.07861
Oxtorgsgatan Kvarnen,Söderhamn,x,x,x,x,x,61.30139,17.04556
Flygvägen/Medelpadsvägen,Söderhamn,x,x,x,x,x,61.29417,17.06694
ICA Nyplan,Sandarne,x,x,x,x,x,61.26083,17.14778
"Trönö, Glamsta",Trönödal,x,x,x,x,x,61.39528,16.83611
"Vågbro Tempo, gamla Ica",Vågbro,x,x,x,x,x,61.32389,17.05944
Kungsgården,Norrala,x,x,x,x,x,61.36611,16.94667
Skärså fiskeläge,Skärså,x,x,x,x,x,61.37778,17.09583
Södra Järnvägsgatan,Söderhamn,x,x,x,x,x,61.30222,17.06139
Fagered,Fagered,"","","","",x,57.20750,12.75556
Fredens väg,Falkenberg,x,x,x,x,x,56.89556,12.52889
Hjortsberg,Falkenberg,x,x,x,x,x,56.88500,12.51389
COOP,Falkenberg,x,x,x,x,x,56.90944,12.49111
Sanddynevägen,Falkenberg,x,x,x,x,x,56.89556,12.48111
Fegen ,Fegen,"","","","",x,57.10861,13.04306
Gällared,Gällared,x,x,x,x,x,57.09944,12.83222
Heberg,Heberg,x,x,x,x,x,56.87833,12.63111
Källsjö,Källsjö,x,x,x,x,x,57.21583,12.65750
Köinge,Köinge,x,x,x,x,x,57.06528,12.64611
Ljungby,Ljungby,x,x,x,x,x,56.98111,12.57750
Långasand,Långasand,x, , , ,x,56.84722,12.60333
Långås,Långås,x,x,x,x,x,56.97278,12.45167
Morup,Morup,x, , , ,x,56.98028,12.39361
Okome,Okome,x,x,x,x,x,57.05194,12.69083
Skogstorp,Skogstorp,x,x,x,x,x,56.91250,12.43750
Skrea,Skrea,x,x,x,x,x,56.88611,12.56139
Slöinge,Slöinge,x,x,x,x,x,56.85250,12.68667
Ugglarp,Ugglarp,x,x,x,x,x,56.81750,12.61528
Ullared,Ullared,x,x,x,x,x,57.12944,12.71778
Vessigebro,Vessigebro,x,x,x,x,x,56.98306,12.65417
Vinbergs samhälle,Vinberg,x,x,x,x,x,56.94806,12.54556
Årstad,Årstad,x,x,"",x,x,56.91472,12.67528
Älvsered,Älvsered,x,x,x,x,x,57.23972,12.86583
Ätran,Ätran,x,x,x,x,x,57.12167,12.94278
Willy´s Hemma,Falkenberg,x, , , , ,56.88750,12.50889
Sandladan ÅVC utanför,Falkenberg,x,x,x,x,x,56.90861,12.46611
Glommen,Glommen,x,x,x,x,x,56.93472,12.37417
Morups IP,Morup,x,x,x,x,x,56.97528,12.39750
"Olofsbo, Tempo",Olofsbo,x, , , ,"",56.91694,12.39111
"Alet, Gatenhielmsvägen",Alet,x,x,x,x,x,56.66583,12.83028
"Brogård, Långhusallén",Brogård,x,x,x,x,x,56.68500,12.94778
"Bäckagård, Stafflivägen",Bäckagård,x,x,x,x,x,56.65694,12.78250
"Eldsberga, Kommunalhusvägen",Eldsberga,x,x,x,x,x,56.59778,12.98750
"Frennarp, Furuvägen",Frennarp,x,x,x,x,x,56.69000,12.89028
"Frösakull, Kungsvägen",Frösakull,x,x,x,x,x,56.67667,12.72861
"Furet, Furuvägen",Furet,x,x,x,x,x,56.68306,12.87583
"Gullbranna, Galleredsvägen",Gullbranna,x,x,x,x,x,56.58417,12.95611
"Gullbranna, Kryddvägen",Gullbranna,x,x,x,x,x,56.58944,12.94944
"Harplinge, Källvägen",Harplinge,x,x,x,x,x,56.74444,12.73611
"Harplinge, Kvarnliden",Harplinge,x,x,x,x,x,56.74472,12.72500
"Haverdal, Jägarevägen",Haverdal,x,x,x,x,x,56.72111,12.69111
"Haverdal, Klövervägen",Haverdal,x,x,x,x,x,56.72944,12.67056
"Haverdal, Sommarvägen",Haverdal,x,x,x,x,x,56.72111,12.67083
"Holm, Gamla Göteborgsvägen",Holm,x,x,x,x,x,56.73333,12.85972
"Johansfors, Draredsvägen",Johansfors,x,x,x,x,x,56.83944,12.98222
"Kvibille, Lundsgårdsvägen",Kvibille,x,x,x,x,x,56.78722,12.83528
"Kvibille, Slättåkravägen",Kvibille,x,x,x,x,x,56.78194,12.83278
"Kärleken, Göteborgsvägen",Kärleken,x,x,x,x,x,56.69806,12.86611
"Kärleken, Ängdalagatan",Kärleken,x,x,x,x,x,56.70194,12.86694
"Laxvik, Fågelviksvägen",Laxvik,x,x,x,x,x,56.59639,12.93028
"Lågagård, Ljungbyvägen",Lågagård,x,x,x,x,x,56.68111,12.93528
"Marbäck, Svanåsvägen",Marbäck,x,x,x,x,x,56.70611,13.03361
"Mickedala, Broddesonsgatan",Mickedala,x,x,x,x,x,56.67639,12.84611
"Mickedala, Magnus Stenbocks väg",Mickedala,x,x,x,x,x,56.67694,12.83278
"Norra Utmarken, Burmeistervägen",Norra Utmarken,x,x,x,x,x,56.69694,12.85417
Nissaströms Kursgård,Nissaström,x,x,x,x,x,56.83778,13.00611
"Nyhem, Krusbäret",Nyhem,x,x,x,x,x,56.67139,12.87778
"Oskarström, Björsgårdsgatan",Oskarström,x,x,x,x,x,56.79972,12.96028
"Oskarström, Blåklintsvägen",Oskarström,x,x,x,x,x,56.80639,12.95944
"Oskarström, Santagårdsvägen",Oskarström,x,x,x,x,x,56.80139,12.99000
"Sennan, Stensvägen",Sennan,x,x,x,x,x,56.77361,12.98028
Affären,Simlångsdalen,x,x,x,x,x,56.71889,13.12417
"Skedala, Blomängsvägen",Skedala,x,x,x,x,x,56.69639,12.97417
"Slottsjorden, Flygaregatan",Slottsjorden,x,x,x,x,x,56.67139,12.84472
"Slottsjorden, Utblicken",Slottsjorden,x,x,x,x,x,56.66833,12.84333
"Slottsjorden, Skepparegatan",Slottsjorden,x,x,x,x,x,56.66778,12.85000
"Slättåkra, Oskarströmsvägen",Slättåkra,x,x,x,x,x,56.82611,12.88472
"Snöstorp, Agravägen",Snöstorp,x,x,x,x,x,56.67472,12.91750
"Snöstorp, Ljungbyvägen",Snöstorp,x,x,x,x,x,56.67694,12.92611
"Söndrum, Shell",Söndrum,x,x,x,x,x,56.66722,12.81861
"Söndrum, Knut Peters väg",Söndrum,x,x,x,x,x,56.66278,12.79806
"Söndrum, Lars Montins väg",Söndrum,"",x,x,x,x,56.66000,12.80472
"Söndrum Södra, Stenhuggerivägen/Västergård",Söndrum Södra,x,x,x,x,x,56.65528,12.79583
"Trottaberg, Fartygsvägen",Trottaberg,x,x,x,x,x,56.65556,12.76639
"Trönninge, Bjärbygårdsvägen",Trönninge,x,x,x,x,x,56.62139,12.94111
"Trönninge, Kornvägen",Trönninge,x,x,x,x,x,56.61389,12.95222
"Trönninge, Krontorpsvägen ",Trönninge,x,x,x,x,x,56.61778,12.94639
"Tylösand, Tylösandsvägen",Tylösand,x,x,x,"",x,56.64694,12.73361
"Tönnersjö, Krokagården",Tönnersjö,x,x,x,x,x,56.63722,13.05833
"Wallenbergsområdet, Idrottsvägen",Wallbergsområdet,x,x,x,x,x,56.68472,12.86222
"Vilshärad, Vikenvägen",Vilshärad,x,x,x,x,x,56.69472,12.69694
"Åled, Nattflyvägen",Åled,x,x,x,x,x,56.74528,12.93306
"Åled, Ålängesvägen",Åled,x,x,x,x,x,56.74722,12.95389
"Grötvik, Grötvikshamn",Grötvik,x,"",x,x,"",56.64222,12.77833
"Östra Stranden, Sommarvägen",Östra Stranden,x,x,x,x,x,56.64972,12.88694
"Trottaberg, Bergsgårdsvägen",Trottaberg,x,x,x,x,x,56.65556,12.77444
"Söndrum södra, Krypvidevägen",Söndrum Södra,x,x,x,x,x,56.65444,12.78222
"Oskarström, Jutans väg",Oskarström,x,x,x,x,x,56.80278,12.97361
Väderögatan,Rotorp,x,x,x,x,x,56.67306,12.82917
Coop Gamletull,Halmstad,x,x,x,x,x,56.67611,12.86667
Flygstaden (ÅVC),Halmstad,x,x,x,x,x,56.67583,12.79722
Oskarström (ÅVC),Oskarström,x,x,x,x,x,56.79667,12.97778
Getinge (ÅVC),Getinge,x,x,x,x,x,56.82333,12.72333
Villmanstrand ÅVC,Nilstorp,x,x,x,x,x,56.63778,12.92417
Getinge centrum,Getinge,x,x,x,x,x,56.81972,12.72972
Parkeringen Norra station / Radioplan,Halmstad,x,x,x,x,x,56.67667,12.85111
Q star Gullbrandstorp,Gullbrandstorp,x,x,x,x,x,56.70472,12.72667
ICA Vallås Centrum,Halmstad,x,x,x,x,x,56.67694,12.90917
Andersberg,Halmstad,x,x,x,x,x,56.66361,12.89750
Netto Fyllinge,Halmstad,x,x,x,x,x,56.65028,12.91611
"Söndrum, Ica Maxi Stormarknad Flygstaden",Söndrum,x,x,x,x,x,56.67861,12.80389
"Halmstad, Ica Maxi Stormarknad",Halmstad,x,x,x,x,x,56.66278,12.87694
Drängsered,Drängsered,x,x,x,x,x,57.01806,12.96083
Kinnared,Kinnared,x,x,x,x,x,57.02194,13.10861
Landeryd,Landeryd,x,x,x,x,x,57.07806,13.26861
Långaryd,Långaryd,x,x,"",x,x,57.04278,13.34111
Rydöbruk,Rydöbruk,x,x,x,x,x,56.96194,13.14333
Torup,Torup,x,x,x,x,x,56.95806,13.07389
Unnaryd,Unnaryd,x,x,x,x,x,56.95944,13.52944
Hyltebruk,Hyltebruk,"",x,"","",x,57.00222,13.24611
Borabotippen (ÅVC),Hyltebruk,x,x,x,x,x,56.98111,13.24444
Hyltebruk Parkeringen,Hyltebruk,x,x,x,x,x,57.00528,13.23722
Hyltebruk Södra Industrigatan,Hyltebruk,x,x,x,x,x,56.98806,13.23056
Kiosken,Anneberg,x,x,x,x,x,57.53833,12.10361
Rosengatan,Favoriten,x,x,x,x,x,57.48417,12.08528
Fjärås Bräcka Grustag,Fjärås,x,x,x,x,x,57.45583,12.19972
Fjärås centrum,Fjärås,x,x,x,x,x,57.46111,12.17000
Gällingekrysset,Gällinge,x,x,x,x,x,57.39361,12.24639
Hjälmkrysset,Hjälm,x,x,x,x,x,57.49833,12.16250
